"text","post_content","source_type"
"Si ce questionnaire fonctionne et aboutit à des signalements de faits avérés, il va falloir quasiment doubler les places dans les MECS (maisons d'enfants à caractère social) sinon, les enfants resteront auprès de leurs bourreaux et ils continueront à subir l'impensable.
Quand on connaît l'état des finances de l'ASE...","Violences sexuelles : comment l’école va interroger 10 millions d’élèves pour mieux repérer les victimes","post"
"Et les autres ???","Présidentielle 2027 : Raphaël Glucksmann veut augmenter d’au moins 10 % les salaires des enseignants","post"
"Nad JL","Entouré de ses proches, le doyen des Hagetmautiens a fêté son anniversaire le samedi 29 août. Résistant des Forces françaises de l’intérieur et ancien salarié de l’entreprise Capdevielle, ce Landais vit toujours dans la maison familiale","post"
"Quelle tristesse un si beau phare !","La Ville de La Tremblade veut accompagner le démantèlement du phare de la Coubre","post"
"Il as jouer il as perdu ...","Un adolescent de 14 ans en trottinette mortellement fauché par un train, les barrières du passage à niveau « ont correctement fonctionné »","post"
"Cî Ci et les petits patrons en burn out à cause des salariés qui ne veulent bosser que quand eux ils veulent et qui ne peuvent pas se mettre en arrêt et subissent on en parle? on tremble de dire un NON de peur que le soir même on nous foute pas un arrêt au visage . Eux c'est open bar et nous on n'ose plus rien leur dire","Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents","post"
"Xavier Clisson en grande partie je suis sûre quand je vois l'augmentation de cette année!! Et là la population n'a pas été consultée pour être taxée d'un aménagement qu'on utilise pas!","Saintes : la Fédération française du sport-boules n’homologue pas le nouveau boulodrome couvert
🔗https://l.sudouest.fr/Clwt","post"
"On déplace juste le problème 😡😡","🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/15fe","post"
"Plus on fait de bêtises plus on est promu dans ce pays 🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️","🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/15fe","post"
"Bon repos et bon rétablissement 
Bon courage","Une décision difficile pour les gérants, mais motivée par des raisons de santé","post"
